,iso2,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,10745,1986,1993,1994,1995,1996,1997,1998,1999,2000,Mammalia,iso3
31,BS,0.0,0.0,0.0,2.0,1.0,10.0,9.0,23.0,6.0,10.0,9.0,13.0,14.0,12.0,5.0,7.0,19.0,17.0,119.0,25.0,120.0,171.0,44.0,115.0,129.0,245.0,222.0,284.0,108.0,148.0,240.0,210.0,203.0,821.0,527.0,439.0,484.0,356.0,320.0,321.0,309.0,259.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,13.0,0.0,0.0,BHS
32,BT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,7.0,0.0,6.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,2.0,3.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BTN
33,BW,1.0,2.0,21.0,113.0,245.0,77.0,521.0,259.0,243.0,449.0,1016.0,1180.0,1100.0,1185.0,1125.0,667.0,604.0,630.0,724.0,504.0,424.0,337.0,471.0,469.0,448.0,1296.0,768.0,926.0,919.0,817.0,809.0,913.0,773.0,911.0,724.0,884.0,676.0,1166.0,866.0,612.0,182.0,107.0,51.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,193.0,180.0,442.0,0.0,0.0,BWA
34,BY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0,6.0,20.0,31.0,30.0,28.0,22.0,28.0,28.0,30.0,45.0,31.0,27.0,19.0,36.0,39.0,2.0,36.0,96.0,121.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,BLR
35,BZ,0.0,0.0,5.0,4.0,24.0,25.0,27.0,27.0,81.0,162.0,345.0,201.0,356.0,130.0,203.0,369.0,199.0,647.0,792.0,495.0,374.0,1028.0,673.0,467.0,709.0,767.0,465.0,399.0,915.0,900.0,457.0,288.0,224.0,900.0,698.0,775.0,631.0,418.0,630.0,1067.0,1136.0,156.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,11.0,15.0,32.0,0.0,0.0,BLZ
36,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE
37,CA,21.0,62.0,274.0,474.0,659.0,868.0,1724.0,1993.0,2292.0,2210.0,3088.0,4098.0,10906.0,11415.0,11395.0,10575.0,12069.0,33734.0,44313.0,44859.0,55692.0,49458.0,64719.0,49835.0,76330.0,87986.0,102166.0,103228.0,99955.0,102428.0,107474.0,95249.0,86532.0,69159.0,81393.0,51858.0,42057.0,55620.0,51510.0,50922.0,55522.0,54633.0,39583.0,1.0,0.0,0.0,0.0,0.0,28.0,50.0,3782.0,460.0,541.0,0.0,0.0,CAN
38,CC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,8.0,10.0,3.0,4.0,12.0,73.0,5.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CCK
39,CD,0.0,0.0,1.0,14.0,19.0,36.0,131.0,62.0,77.0,98.0,416.0,337.0,604.0,445.0,365.0,83.0,168.0,209.0,369.0,512.0,587.0,738.0,544.0,578.0,416.0,413.0,331.0,72.0,385.0,477.0,652.0,463.0,453.0,495.0,357.0,455.0,424.0,469.0,439.0,448.0,203.0,190.0,252.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,0.0,0.0,COD
40,CF,0.0,0.0,2.0,9.0,31.0,47.0,22.0,40.0,220.0,57.0,464.0,450.0,405.0,172.0,157.0,152.0,85.0,111.0,52.0,204.0,239.0,156.0,182.0,175.0,193.0,220.0,331.0,239.0,118.0,45.0,242.0,209.0,248.0,73.0,184.0,200.0,52.0,151.0,43.0,53.0,33.0,17.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,CAF
41,CG,0.0,0.0,0.0,0.0,9.0,31.0,52.0,28.0,115.0,156.0,92.0,108.0,149.0,235.0,186.0,110.0,75.0,73.0,117.0,100.0,29.0,57.0,23.0,79.0,59.0,131.0,253.0,172.0,174.0,68.0,144.0,25.0,51.0,54.0,62.0,36.0,69.0,73.0,110.0,68.0,75.0,71.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,0.0,0.0,COG
42,CH,28.0,97.0,150.0,236.0,403.0,661.0,1581.0,1798.0,6132.0,2494.0,3650.0,3998.0,4600.0,5924.0,7736.0,8832.0,8469.0,8823.0,6586.0,8225.0,10455.0,11381.0,14008.0,16055.0,20322.0,29630.0,33618.0,33229.0,40399.0,44297.0,51173.0,149082.0,151557.0,157078.0,151179.0,164701.0,191580.0,196389.0,197538.0,194084.0,212082.0,197408.0,72377.0,11.0,0.0,0.0,0.0,0.0,0.0,5.0,148.0,175.0,167.0,0.0,0.0,CHE
43,CI,0.0,0.0,1.0,2.0,7.0,11.0,31.0,27.0,43.0,71.0,89.0,87.0,89.0,76.0,97.0,54.0,48.0,78.0,37.0,38.0,44.0,30.0,130.0,61.0,80.0,108.0,224.0,208.0,251.0,239.0,326.0,40.0,85.0,66.0,37.0,31.0,191.0,222.0,375.0,308.0,323.0,309.0,224.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,7.0,8.0,0.0,0.0,CIV
44,CK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,50.0,75.0,68.0,156.0,162.0,142.0,84.0,375.0,511.0,564.0,555.0,910.0,1126.0,935.0,900.0,1093.0,658.0,841.0,567.0,583.0,530.0,350.0,457.0,365.0,220.0,6.0,228.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COK
45,CL,0.0,0.0,17.0,4.0,18.0,7.0,5.0,689.0,1321.0,144.0,85.0,156.0,178.0,199.0,241.0,205.0,316.0,246.0,210.0,527.0,697.0,735.0,536.0,238.0,430.0,367.0,318.0,437.0,461.0,542.0,364.0,304.0,249.0,346.0,211.0,206.0,128.0,149.0,115.0,100.0,145.0,107.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,24.0,0.0,0.0,CHL
46,CM,0.0,3.0,6.0,6.0,13.0,79.0,191.0,123.0,248.0,380.0,548.0,667.0,848.0,941.0,251.0,273.0,692.0,695.0,624.0,999.0,1050.0,1133.0,1073.0,1127.0,1457.0,1183.0,943.0,946.0,661.0,1080.0,1295.0,864.0,1062.0,311.0,617.0,246.0,432.0,241.0,456.0,303.0,335.0,470.0,256.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,38.0,75.0,0.0,0.0,CMR
47,CN,0.0,1.0,5.0,7.0,18.0,54.0,346.0,372.0,777.0,293.0,1250.0,1712.0,1662.0,1797.0,1782.0,1645.0,3697.0,2932.0,1410.0,1421.0,1616.0,1918.0,1874.0,2230.0,3847.0,4835.0,5309.0,6891.0,8166.0,9820.0,10354.0,11013.0,13355.0,14042.0,13785.0,16236.0,12829.0,11128.0,10120.0,11611.0,11092.0,12480.0,19615.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,268.0,254.0,433.0,0.0,0.0,CHN
48,CO,0.0,6.0,33.0,41.0,58.0,93.0,332.0,107.0,140.0,154.0,120.0,457.0,795.0,901.0,1369.0,3377.0,1755.0,2408.0,2944.0,3574.0,4526.0,3256.0,7470.0,5933.0,7438.0,6128.0,6272.0,6917.0,5748.0,3495.0,7544.0,9166.0,9080.0,8631.0,6325.0,10629.0,7535.0,11213.0,6756.0,6868.0,5883.0,6190.0,5242.0,192.0,0.0,0.0,0.0,0.0,0.0,32.0,371.0,328.0,350.0,0.0,0.0,COL
49,CR,1.0,12.0,2.0,64.0,93.0,47.0,114.0,181.0,410.0,1324.0,402.0,1801.0,776.0,1344.0,1426.0,645.0,745.0,725.0,532.0,225.0,199.0,219.0,380.0,414.0,1248.0,822.0,2029.0,1376.0,2018.0,2348.0,1996.0,2178.0,2615.0,2186.0,2251.0,2576.0,2304.0,1885.0,1528.0,1539.0,1155.0,299.0,1209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,82.0,133.0,0.0,0.0,CRI
50,CS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,89.0,33.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE
51,CU,0.0,0.0,0.0,1.0,2.0,10.0,5.0,8.0,4.0,13.0,8.0,11.0,30.0,36.0,9.0,14.0,89.0,104.0,97.0,131.0,216.0,223.0,481.0,293.0,426.0,331.0,346.0,323.0,407.0,439.0,206.0,205.0,385.0,288.0,366.0,270.0,314.0,298.0,389.0,380.0,105.0,403.0,312.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,50.0,65.0,56.0,0.0,0.0,CUB
52,CV,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,4.0,1.0,1.0,6.0,4.0,1.0,0.0,3.0,5.0,3.0,4.0,1.0,2.0,3.0,3.0,19.0,5.0,8.0,5.0,3.0,2.0,3.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,CPV
53,CW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,3.0,5.0,11.0,6.0,42.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE
