,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Year,Appendix,Taxon,Class,Order,Family,Genus,Term,Quantity,Unit,Importer,Exporter,Origin,Purpose,Source,Reporter.type,Import.permit.RandomID,Export.permit.RandomID,Origin.permit.RandomID
922,2788,2788,309855,1979,II,Leuchtenbergia spp.,,Caryophyllales,Cactaceae,Leuchtenbergia,live,2000.0,,CA,US,,T,,E,,,
577,3875,3875,447003,1979,II,Rebutia spp.,,Caryophyllales,Cactaceae,Rebutia,live,2.0,,GB,DE,,,,I,,,
736,1424,1424,157181,1979,II,Crocodylus novaeguineae,Reptilia,Crocodylia,Crocodylidae,Crocodylus,leather items,28.0,,BE,IT,XX,,,E,,,
166,4632,4632,5013610,1979,I,Aloe polyphylla,,Liliales,Liliaceae,Aloe,live,5.0,,CH,US,,T,,E,,,
309,10427,10427,5418330,1979,II,Sigmatostalix spp.,,Orchidales,Orchidaceae,Sigmatostalix,live,14.0,,US,BR,,T,,I,,,
33,1282,1282,157039,1979,II,Crocodylus novaeguineae,Reptilia,Crocodylia,Crocodylidae,Crocodylus,leather products (small),5135.0,,CH,FR,PG,T,,E,,,
686,10462,10462,5420431,1979,II,Stelis spp.,,Orchidales,Orchidaceae,Stelis,live,10.0,,US,EC,,T,,I,,,
372,8980,8980,5289408,1979,II,Natator depressus,Reptilia,Testudines,Cheloniidae,Natator,leather items,10.0,,CH,DE,MX,,,E,,,
493,11032,11032,5455369,1979,II,Varanus exanthematicus,Reptilia,Sauria,Varanidae,Varanus,live,2.0,,CH,,,T,,I,,,
814,5225,5225,5047962,1979,II,Caiman crocodilus crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,skins,6000.0,,FR,IT,PY,,,E,,,
303,4466,4466,493336,1979,II,Varanus prasinus,Reptilia,Sauria,Varanidae,Varanus,live,1.0,,CA,US,ID,,,E,,,
8,3829,3829,438840,1979,II,Python sebae,Reptilia,Serpentes,Pythonidae,Python,skins,170.0,m,US,GB,XX,,,E,,,
566,8198,8198,5185569,1979,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,ivory pieces,517.0,kg,IN,HK,TZ,,,E,,,
100,4441,4441,492794,1979,II,Vanilla spp.,,Orchidales,Orchidaceae,Vanilla,live,10.0,,US,JM,,T,,I,,,
899,4108,4108,468062,1979,II,Stenocereus spp.,,Caryophyllales,Cactaceae,Stenocereus,live,345.0,,CA,US,,T,,E,,,
662,6698,6698,5161992,1979,II,Frailea spp.,,Caryophyllales,Cactaceae,Frailea,live,50.0,,ZW,US,,T,,E,,,
949,1409,1409,157166,1979,II,Crocodylus novaeguineae,Reptilia,Crocodylia,Crocodylidae,Crocodylus,leather products (small),1.0,,AT,IT,MY,,,E,,,
773,1491,1491,182337,1979,II,Crocodylus porosus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,leather products (small),50.0,,US,CH,XX,,,E,,,
302,8091,8091,5185462,1979,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,ivory pieces,1321.0,kg,HK,FR,CF,T,,I,,,
764,12123,12123,13222995,1979,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,ivory carvings,2.0,kg,GB,US,XX,,,I,,,
595,4893,4893,5031462,1979,II,Boa constrictor,Reptilia,Serpentes,Boidae,Boa,leather products (small),2.0,,CA,IT,XX,,,E,,,
