,Unnamed: 0,Year,Appendix,Taxon,Class,Order,Family,Genus,Term,Quantity,Unit,Importer,Exporter,Origin,Purpose,Source,Reporter.type,Import.permit.RandomID,Export.permit.RandomID,Origin.permit.RandomID
18,143410,1975,I,Crocodylus niloticus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,skins,383.0,,CH,FR,,,,I,,,
19,143411,1975,I,Crocodylus niloticus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,skins,12.0,,CH,DE,,,,I,,,
20,143412,1975,I,Crocodylus niloticus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,skins,121.0,,XX,CH,,,,E,,,
21,157621,1975,II,Crocodylus novaeguineae,Reptilia,Crocodylia,Crocodylidae,Crocodylus,skins,94.0,,CH,FR,,,,I,,,
22,157622,1975,II,Crocodylus novaeguineae,Reptilia,Crocodylia,Crocodylidae,Crocodylus,bodies,6.0,,CH,PG,,,,I,,,
23,157623,1975,II,Crocodylus novaeguineae,Reptilia,Crocodylia,Crocodylidae,Crocodylus,skins,179.0,,XX,CH,,,,E,,,
24,191260,1975,I,Crocodylus siamensis,Reptilia,Crocodylia,Crocodylidae,Crocodylus,skins,2.0,,CH,FR,,,,I,,,
25,232012,1975,II,Dendrocygna arborea,Aves,Anseriformes,Anatidae,Dendrocygna,live,2.0,,CH,NL,,P,C,I,,,
26,232531,1975,II,Diceros bicornis,Mammalia,Perissodactyla,Rhinocerotidae,Diceros,live,1.0,,CH,IT,,Z,,I,,,
27,232532,1975,II,Diceros bicornis,Mammalia,Perissodactyla,Rhinocerotidae,Diceros,trophies,1.0,,CH,GB,,,,I,,,
28,239162,1975,I,Elephas maximus,Mammalia,Proboscidea,Elephantidae,Elephas,live,1.0,,US,CA,,,,E,,,
29,239163,1975,I,Elephas maximus,Mammalia,Proboscidea,Elephantidae,Elephas,live,1.0,,CH,DE,,Q,,I,,,
30,261223,1975,II,Eunectes notaeus,Reptilia,Serpentes,Boidae,Eunectes,live,7.0,,CH,PY,,T,,I,,,
31,274737,1975,II,Falco biarmicus,Aves,Falconiformes,Falconidae,Falco,live,1.0,,CH,IT,,Z,,I,,,
32,280574,1975,II,Gallicolumba luzonica,Aves,Columbiformes,Columbidae,Gallicolumba,live,4.0,,US,CA,,,,E,,,
33,305055,1975,II,Leopardus pardalis,Mammalia,Carnivora,Felidae,Leopardus,skins,273.0,,CA,GB,CA,,,I,,,
34,305056,1975,II,Leopardus pardalis,Mammalia,Carnivora,Felidae,Leopardus,garments,7.0,,CH,CA,XX,,,E,,,
35,305057,1975,II,Leopardus pardalis,Mammalia,Carnivora,Felidae,Leopardus,live,2.0,,CH,DE,CH,P,,I,,,
36,305058,1975,II,Leopardus pardalis,Mammalia,Carnivora,Felidae,Leopardus,skins,45.0,,CH,DE,,,,I,,,
37,305059,1975,II,Leopardus pardalis,Mammalia,Carnivora,Felidae,Leopardus,garments,21.0,,CH,CA,,,,I,,,
38,305060,1975,II,Leopardus pardalis,Mammalia,Carnivora,Felidae,Leopardus,garments,2.0,,CH,GR,,,,I,,,
39,305061,1975,II,Leopardus pardalis,Mammalia,Carnivora,Felidae,Leopardus,bodies,3.0,,CH,DE,,,,I,,,
40,306615,1975,II,Leopardus wiedii,Mammalia,Carnivora,Felidae,Leopardus,skins,551.0,,CA,GB,CA,,,I,,,
41,306616,1975,II,Leopardus wiedii,Mammalia,Carnivora,Felidae,Leopardus,live,1.0,,CH,PY,,P,,I,,,
42,312359,1975,I,Lophura swinhoii,Aves,Galliformes,Phasianidae,Lophura,live,2.0,,CH,DE,,P,C,I,,,
43,321935,1975,II,Malacochersus tornieri,Reptilia,Testudines,Testudinidae,Malacochersus,live,5.0,,CH,KE,,T,,I,,,
44,330311,1975,I,Melanosuchus niger,Reptilia,Crocodylia,Alligatoridae,Melanosuchus,skins,50.0,,CH,FR,,,,I,,,
45,331963,1975,III,Monodon monoceros,Mammalia,Cetacea,Monodontidae,Monodon,tusks,38.0,,GB,CA,,,,E,,,
46,331964,1975,III,Monodon monoceros,Mammalia,Cetacea,Monodontidae,Monodon,carvings,7.0,,BE,CA,,,,E,,,
47,374223,1975,II,Paleosuchus spp.,Reptilia,Crocodylia,Alligatoridae,Paleosuchus,live,2.0,,XX,CH,,,,E,,,
48,374521,1975,II,Pan troglodytes,Mammalia,Primates,Hominidae,Pan,live,1.0,,CH,LR,,Z,,I,,,
49,374522,1975,II,Pan troglodytes,Mammalia,Primates,Hominidae,Pan,live,2.0,,XX,CH,,,C,E,,,
