,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Year,Appendix,Taxon,Class,Order,Family,Genus,Term,Quantity,Unit,Importer,Exporter,Origin,Purpose,Source,Reporter.type,Import.permit.RandomID,Export.permit.RandomID,Origin.permit.RandomID
952,748053,748053,748053,10660056,2007,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),997.0,,CH,FR,US,T,W,I,,d028c7e10c,2ddd86e622
961,381264,381264,381264,10035037,2007,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),1.0,,CH,FR,US,T,C,E,,581144dfa3,308163bff1
121,202992,202992,202992,3483801,2007,II,Turbinaria mesenterina,Anthozoa,Scleractinia,Dendrophylliidae,Turbinaria,live,4.0,,JP,ID,,T,F,E,,e9e257989a,
24,855369,855369,855369,13324036,2007,II,Orchidaceae hybrid,,Orchidales,Orchidaceae,,live,240.0,,US,AU,,T,A,I,,052b7b3f9d,
964,360418,360418,360418,10014170,2007,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),1.0,,AT,JP,US,T,C,I,09289f77c8,6888bb9bc4,
602,315558,315558,315558,3989158,2007,II,Ursus arctos,Mammalia,Carnivora,Ursidae,Ursus,trophies,1.0,,NO,RU,,H,W,E,,8a301a6b13,
884,255916,255916,255916,3720029,2007,II,Eclectus roratus,Aves,Psittaciformes,Psittacidae,Eclectus,live,53.0,,IL,ZA,,,,I,8cae926e6e,,
247,565,565,565,3000286,2007,II,Acanthastrea echinata,Anthozoa,Scleractinia,Mussidae,Acanthastrea,live,4.0,,US,ID,,T,W,E,,70a897a7ae,
286,657801,657801,657801,10489094,2007,II,Varanus salvator,Reptilia,Sauria,Varanidae,Varanus,leather products (small),1.0,,CA,FR,MY,T,W,E,,628dc539a2,9683ac5625
768,605788,605788,605788,10416174,2007,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,leather products (small),10.0,,US,FR,VN,T,C,I,,df6dff8f21,
79,504681,504681,504681,10283729,2007,II,Goniopora lobata,Anthozoa,Scleractinia,Poritidae,Goniopora,live,35.0,,US,ID,,T,W,E,,74d1da96a5,
